age,created_timestamp,kidsarc_response_id,respondent_id,itemid,A,B,C,D,response,correct,saveitem_timestamp,rt,rt_s,error_matrix,error_concept,error_correct,error_part_duplicated,error_other,error_wrong_item,error_empty,duplicate_A,duplicate_B,duplicate_C,duplicated
16,2023-12-09 10:24:53,106,4378,9,1101111010555551101101011,1101111010555550000000000,0110155555000101101111001,0110155555000000000000000,0110155555000000000000000,1,2023-12-09 10:25:46,41854,41.854,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:24:53,107,4378,10,0000003033030000030300000,0000003333030030333300000,5500000500005005000000500,5550050500505005050055500,5550050500505005050055500,1,2023-12-09 10:26:04,17625,17.625,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:24:53,108,4378,11,1111110001111110000000003,2222220302222220000000000,3010001010100010101000100,0020002020203020202000200,0010001010103010101000100,0,2023-12-09 10:26:18,13478,13.478,0,1,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:24:53,109,4378,12,6666033333000007770011000,0000011000777006666033333,2200055500600004444433330,6000022000555003333044444,6000022000555003333044444,1,2023-12-09 10:26:47,29674,29.674,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:24:53,111,4378,13,0102211022010000007722077,0002200022000000000022000,0405544055000000600560055,0005500055000000000500055,0005500055000000000500055,1,2023-12-09 10:27:14,27036,27.036,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:24:53,115,4378,14,4441444244444443244444424,4444444444444444444444444,6666676666668666666768666,6666666666666666666666666,6666666666660666666660666,0,2023-12-09 10:27:51,36602,36.602,1,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:24:53,117,4378,15,1001133333011013333311010,0000033333011013333300000,0031311313113030031311303,0031300313003030031300303,0031300313003030031300303,1,2023-12-09 10:28:02,11054,11.054,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:24:53,119,4378,16,0070007070700070707000700,0000007070000000707000000,0000006660060600666000000,0000000600060600060000000,0000006060000000606000000,1,2023-12-09 10:28:12,9712,9.712,0,0,0,0,0,0,0,0,0,0,0
33,2023-12-09 10:29:27,142,4386,9,1101111010555551101101011,1101111010555550000000000,0110155555000101101111001,0110155555000000000000000,0110155555000000000000000,1,2023-12-09 10:32:47,94352,94.352,0,0,0,0,0,0,0,0,0,0,0
33,2023-12-09 10:29:27,146,4386,10,0000003033030000030300000,0000003333030030333300000,5500000500005005000000500,5550050500505005050055500,5550000500005005550000500,0,2023-12-09 10:33:21,34215,34.215,0,0,0,0,1,0,0,0,0,0,0
33,2023-12-09 10:29:27,148,4386,11,1111110001111110000000003,2222220302222220000000000,3010001010100010101000100,0020002020203020202000200,0020002220223220222000200,0,2023-12-09 10:34:22,60581,60.581,0,1,0,0,0,0,0,0,0,0,0
33,2023-12-09 10:29:27,149,4386,12,6666033333000007770011000,0000011000777006666033333,2200055500600004444433330,6000022000555003333044444,6000033330444442200055500,0,2023-12-09 10:36:16,114153,114.153,1,0,0,0,0,0,0,0,0,0,0
33,2023-12-09 10:29:27,150,4386,13,0102211022010000007722077,0002200022000000000022000,0405544055000000600560055,0005500055000000000500055,0005500055000000600060000,1,2023-12-09 10:36:34,17067,17.067,0,0,0,0,0,0,0,0,0,0,0
33,2023-12-09 10:29:27,151,4386,14,4441444244444443244444424,4444444444444444444444444,6666676666668666666768666,6666666666666666666666666,6666666666666666666666666,1,2023-12-09 10:36:57,23179,23.179,0,0,0,0,0,0,0,0,0,0,0
33,2023-12-09 10:29:27,152,4386,15,1001133333011013333311010,0000033333011013333300000,0031311313113030031311303,0031300313003030031300303,0000011313113030031300000,1,2023-12-09 10:37:41,43983,43.983,0,0,0,0,0,0,0,0,0,0,0
33,2023-12-09 10:29:27,153,4386,16,0070007070700070707000700,0000007070000000707000000,0000006660060600666000000,0000000600060600060000000,0000006060060600606000000,0,2023-12-09 10:38:09,27573,27.573,1,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:39:16,154,4398,9,1101111010555551101101011,1101111010555550000000000,0110155555000101101111001,0110155555000000000000000,0110155555000000000000000,1,2023-12-09 10:40:00,43490,43.49,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:39:16,155,4398,10,0000003033030000030300000,0000003333030030333300000,5500000500005005000000500,5550050500505005050055500,5550050500505005050055500,1,2023-12-09 10:41:37,97308,97.308,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:39:16,156,4398,11,1111110001111110000000003,2222220302222220000000000,3010001010100010101000100,0020002020203020202000200,0020002020203020202000200,1,2023-12-09 10:42:01,23149,23.149,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:39:16,157,4398,12,6666033333000007770011000,0000011000777006666033333,2200055500600004444433330,6000022000555003333044444,6000022000555003333044444,1,2023-12-09 10:42:41,40620,40.62,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:39:16,158,4398,13,0102211022010000007722077,0002200022000000000022000,0405544055000000600560055,0005500055000000000500055,0006600066000000600060000,0,2023-12-09 10:43:04,22561,22.561,0,1,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:39:16,159,4398,14,4441444244444443244444424,4444444444444444444444444,6666676666668666666768666,6666666666666666666666666,6666666666666666666666666,1,2023-12-09 10:43:30,25662,25.662,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:39:16,160,4398,15,1001133333011013333311010,0000033333011013333300000,0031311313113030031311303,0031300313003030031300303,0031300313003030031300303,1,2023-12-09 10:44:08,38423,38.423,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:39:16,161,4398,16,0070007070700070707000700,0000007070000000707000000,0000006660060600666000000,0000000600060600060000000,0000006060000000606000000,1,2023-12-09 10:44:42,33765,33.765,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:49:05,170,4416,9,1101111010555551101101011,1101111010555550000000000,0110155555000101101111001,0110155555000000000000000,0110155555000100000000000,1,2023-12-09 10:49:32,27025,27.025,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:49:05,171,4416,10,0000003033030000030300000,0000003333030030333300000,5500000500005005000000500,5550050500505005050055500,5550000500005005550000500,0,2023-12-09 10:49:42,10512,10.512,0,0,0,0,1,0,0,0,0,0,0
12,2023-12-09 10:49:05,172,4416,11,1111110001111110000000003,2222220302222220000000000,3010001010100010101000100,0020002020203020202000200,0020002020203020202000200,1,2023-12-09 10:50:04,21599,21.599,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:49:05,173,4416,12,6666033333000007770011000,0000011000777006666033333,2200055500600004444433330,6000022000555003333044444,6000022000555003333044444,1,2023-12-09 10:50:25,21085,21.085,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:49:05,174,4416,13,0102211022010000007722077,0002200022000000000022000,0405544055000000600560055,0005500055000000000500055,0005500055000000600060000,1,2023-12-09 10:50:35,9337,9.337,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:49:05,175,4416,14,4441444244444443244444424,4444444444444444444444444,6666676666668666666768666,6666666666666666666666666,6666666666666666666666666,1,2023-12-09 10:50:50,14593,14.593,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:49:05,176,4416,15,1001133333011013333311010,0000033333011013333300000,0031311313113030031311303,0031300313003030031300303,0000011313113030031300000,1,2023-12-09 10:51:31,41419,41.419,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:49:05,177,4416,16,0070007070700070707000700,0000007070000000707000000,0000006660060600666000000,0000000600060600060000000,0000006060000000606000000,1,2023-12-09 10:51:46,14626,14.626,0,0,0,0,0,0,0,0,0,0,0
7,2023-12-09 10:59:35,195,4434,9,1101111010555551101101011,1101111010555550000000000,0110155555000101101111001,0110155555000000000000000,0110155555000000000000000,1,2023-12-09 11:00:35,43201,43.201,0,0,0,0,0,0,0,0,0,0,0
7,2023-12-09 10:59:35,197,4434,10,0000003033030000030300000,0000003333030030333300000,5500000500005005000000500,5550050500505005050055500,0000005555050050555500000,0,2023-12-09 11:01:05,30225,30.225,1,0,0,0,0,0,0,0,0,0,0
7,2023-12-09 10:59:35,198,4434,11,1111110001111110000000003,2222220302222220000000000,3010001010100010101000100,0020002020203020202000200,0010001010103010101000100,0,2023-12-09 11:01:24,18270,18.27,0,1,0,0,0,0,0,0,0,0,0
7,2023-12-09 10:59:35,203,4434,12,6666033333000007770011000,0000011000777006666033333,2200055500600004444433330,6000022000555003333044444,6000022000555003333044444,1,2023-12-09 11:02:11,47079,47.079,0,0,0,0,0,0,0,0,0,0,0
