age,created_timestamp,kidsarc_response_id,respondent_id,itemid,A,B,C,D,response,correct,saveitem_timestamp,rt,rt_s,error_matrix,error_concept,error_correct,error_part_duplicated,error_other,error_wrong_item,error_empty,duplicate_A,duplicate_B,duplicate_C,duplicated
16,2023-12-09 10:21:58,98,4368,1,000220220,000000200,000110110,000000100,000000100,1,2023-12-09 10:22:38,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:21:58,99,4368,2,700000000,700000700,770000000,770000770,770000770,1,2023-12-09 10:22:45,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:21:58,100,4368,3,040040040,060060060,000444000,000666000,000666000,1,2023-12-09 10:22:50,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:21:58,101,4368,4,400400000,000400400,404404000,000404404,000404404,1,2023-12-09 10:22:57,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:21:58,102,4368,5,700770000,770700000,700700770,777700000,777700000,1,2023-12-09 10:23:11,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:21:58,103,4368,6,110005005,330007007,050050011,070070033,030030077,0,2023-12-09 10:23:26,2147483647,2147483.647,0,1,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:21:58,104,4368,7,110000000,111000000,000102102,102102102,102102102,1,2023-12-09 10:24:13,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
16,2023-12-09 10:21:58,105,4368,8,330000000,000333000,330440000,000333444,000333444,1,2023-12-09 10:24:21,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:25:57,110,4382,1,000220220,000000200,000110110,000000100,000000100,1,2023-12-09 10:26:59,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:25:57,112,4382,2,700000000,700000700,770000000,770000770,770000770,1,2023-12-09 10:27:18,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:25:57,113,4382,3,040040040,060060060,000444000,000666000,000666000,1,2023-12-09 10:27:24,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:26:48,114,4383,1,000220220,000000200,000110110,000000100,000000100,1,2023-12-09 10:27:37,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:25:57,116,4382,4,400400000,000400400,404404000,000404404,000505505,0,2023-12-09 10:27:59,2147483647,2147483.647,0,1,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:26:48,118,4383,2,700000000,700000700,770000000,770000770,770000770,1,2023-12-09 10:28:08,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:26:48,120,4383,3,040040040,060060060,000444000,000666000,000666000,1,2023-12-09 10:28:15,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:25:57,121,4382,5,700770000,770700000,700700770,777700000,660600600,0,2023-12-09 10:28:16,2147483647,2147483.647,0,1,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:26:48,122,4383,4,400400000,000400400,404404000,000404404,000404404,1,2023-12-09 10:28:25,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:26:48,123,4383,5,700770000,770700000,700700770,777700000,770700700,1,2023-12-09 10:28:35,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
9,2023-12-09 10:25:57,124,4382,6,110005005,330007007,050050011,070070033,030030077,0,2023-12-09 10:28:55,2147483647,2147483.647,0,1,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:26:48,125,4383,6,110005005,330007007,050050011,070070033,070070033,1,2023-12-09 10:28:58,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
12,2023-12-09 10:26:48,126,4383,7,110000000,111000000,000102102,102102102,102102102,1,2023-12-09 10:29:08,2147483647,2147483.647,0,0,0,0,0,0,0,0,0,0,0
