"age","created_timestamp","kidsarc_response_id","participant_fk","itemid","A","B","C","D","response","correct","saveitem_timestamp","rt"
"16","2023-12-09 10:21:58","98","4368","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 10:22:38","2147483647"
"16","2023-12-09 10:21:58","99","4368","2","700000000","700000700","770000000","770000770","770000770","1","2023-12-09 10:22:45","2147483647"
"16","2023-12-09 10:21:58","100","4368","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 10:22:50","2147483647"
"16","2023-12-09 10:21:58","101","4368","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 10:22:57","2147483647"
"16","2023-12-09 10:21:58","102","4368","5","700770000","770700000","700700770","777700000","777700000","1","2023-12-09 10:23:11","2147483647"
"16","2023-12-09 10:21:58","103","4368","6","110005005","330007007","050050011","070070033","030030077","0","2023-12-09 10:23:26","2147483647"
"16","2023-12-09 10:21:58","104","4368","7","110000000","111000000","000102102","102102102","102102102","1","2023-12-09 10:24:13","2147483647"
"16","2023-12-09 10:21:58","105","4368","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 10:24:21","2147483647"
"16","2023-12-09 10:24:53","106","4378","9","1101111010555551101101011","1101111010555550000000000","0110155555000101101111001","0110155555000000000000000","0110155555000000000000000","1","2023-12-09 10:25:46","41854"
"16","2023-12-09 10:24:53","107","4378","10","0000003033030000030300000","0000003333030030333300000","5500000500005005000000500","5550050500505005050055500","5550050500505005050055500","1","2023-12-09 10:26:04","17625"
"16","2023-12-09 10:24:53","108","4378","11","1111110001111110000000003","2222220302222220000000000","3010001010100010101000100","0020002020203020202000200","0010001010103010101000100","0","2023-12-09 10:26:18","13478"
"16","2023-12-09 10:24:53","109","4378","12","6666033333000007770011000","0000011000777006666033333","2200055500600004444433330","6000022000555003333044444","6000022000555003333044444","1","2023-12-09 10:26:47","29674"
"9","2023-12-09 10:25:57","110","4382","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 10:26:59","2147483647"
"16","2023-12-09 10:24:53","111","4378","13","0102211022010000007722077","0002200022000000000022000","0405544055000000600560055","0005500055000000000500055","0005500055000000000500055","1","2023-12-09 10:27:14","27036"
"9","2023-12-09 10:25:57","112","4382","2","700000000","700000700","770000000","770000770","770000770","1","2023-12-09 10:27:18","2147483647"
"9","2023-12-09 10:25:57","113","4382","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 10:27:24","2147483647"
"12","2023-12-09 10:26:48","114","4383","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 10:27:37","2147483647"
"16","2023-12-09 10:24:53","115","4378","14","4441444244444443244444424","4444444444444444444444444","6666676666668666666768666","6666666666666666666666666","6666666666660666666660666","0","2023-12-09 10:27:51","36602"
"9","2023-12-09 10:25:57","116","4382","4","400400000","000400400","404404000","000404404","000505505","0","2023-12-09 10:27:59","2147483647"
"16","2023-12-09 10:24:53","117","4378","15","1001133333011013333311010","0000033333011013333300000","0031311313113030031311303","0031300313003030031300303","0031300313003030031300303","1","2023-12-09 10:28:02","11054"
"12","2023-12-09 10:26:48","118","4383","2","700000000","700000700","770000000","770000770","770000770","1","2023-12-09 10:28:08","2147483647"
"16","2023-12-09 10:24:53","119","4378","16","0070007070700070707000700","0000007070000000707000000","0000006660060600666000000","0000000600060600060000000","0000006060000000606000000","0","2023-12-09 10:28:12","9712"
