respondent_id,itemid,response,correct,error_matrix,error_concept,error_correct,error_part_duplicated,error_other,error_wrong_item,error_empty,duplicate_A,duplicate_B,duplicate_C,duplicated
DiscoLM-mixtral-8x7b-v2,9,0110155555000100000000000,1,0,0,0,0,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,10,5555550505555555555555555,0,0,0,0,0,1,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,11,4020002020200020202000200,0,0,0,0,1,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,12,0000033330444446000055500,0,1,0,0,0,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,13,0005500055000000000060000,0,1,0,0,0,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,14,6666676666668666666768666,0,0,0,0,0,0,0,0,0,0,1,1
DiscoLM-mixtral-8x7b-v2,15,0000011313113030031300000,1,0,0,0,0,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,16,0000006660000000666000000,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,9,0000000000000000000000000,0,0,0,0,0,0,0,1,0,0,0,0
Nous-Hermes-2-Yi-34B,10,0050000500005000050000500,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,11,0101001010100010101000100,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,12,3330022000555004444460000,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,13,0005500055000000000060005,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,14,6666676666668666666768666,0,0,0,0,0,0,0,0,0,0,1,1
Nous-Hermes-2-Yi-34B,15,1001133333011013333311010,0,0,0,0,0,0,0,0,1,0,0,1
Nous-Hermes-2-Yi-34B,16,0000006660060600666000000,0,0,0,0,0,0,0,0,0,0,1,1
Nous-Hermes-Llama2-70b,9,0000055555000000000000000,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,10,5555505555055555555505555,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,11,3020001310202020131000100,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,12,2200055500600004444433330,0,0,0,0,0,0,0,0,0,0,1,1
Nous-Hermes-Llama2-70b,13,0005544055000000000060005,0,0,0,0,1,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,14,6666666666666666666666666,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,15,0000011313113030000011303,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,16,0000006060000000606000000,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-llama-2-7b,9,0000000000000000000000000,0,0,0,0,0,0,0,1,0,0,0,0
